knn_feature,knn_importance,lr_feature,lr_coefficient,lr_p_value,lr_t_value,lr_std_err,tree_feature,tree_importance,nn_feature,nn_importance
TotalBsmtSF,0.9351314056361453,TotalBsmtSF,8.439868402618934,0.11715565552751107,1.5693537435214782,5.377926065082487,Fireplaces,0.0031821274567193844,ExterQual,0.0004645048230941695
PoolArea,0.9331954619497113,BsmtUnfSF,-4.753073859915911,0.13358053248729024,-1.5024085302473924,3.1636360977884297,OverallCond,0.0028072367341472324,BedroomAbvGr,0.0003072064420519105
KitchenAbvGr,0.9195545435834571,2ndFlrSF,10.083599139754478,0.1736746178004576,1.362302478867883,7.401879755907272,YearRemodAdd,0.0025030507827275327,3SsnPorch,0.00019446147252644153
GarageFinish,0.9146652238387702,WoodDeckSF,12.459089245874761,0.18163647695506127,1.337470125789539,9.315414980592466,BedroomAbvGr,0.0019337379555394694,Fireplaces,0.00014542911892911903
MasVnrArea,0.9108712686396683,PoolArea,110.95701899788207,0.19324610866502032,1.3026721650481203,85.17647185144496,EnclosedPorch,0.0017839913480468543,KitchenAbvGr,0.00014225318547878008
BsmtCond,0.8725261680836277,GarageQual,6771.07793293929,0.22206415846038388,1.2224780953456356,5538.813299574811,GarageFinish,0.0010518174723376035,OverallCond,0.00013558499443615534
YrSold,0.8622198923788387,MoSold,-501.4905910561879,0.2439702327712412,-1.1664030492423372,429.9462277485833,PavedDrive,0.000821662039258247,HalfBath,0.00012986891614510387
MoSold,0.8074147648064375,EnclosedPorch,21.399217724384354,0.2896602809686063,1.0599158150819576,20.189544697688717,YrSold,0.0006525770375480715,Functional,9.141047688118186e-05
PavedDrive,0.7764844548733083,ExterCond,-3341.3502795052036,0.35310874471268006,-0.929383472531378,3595.2331607579695,KitchenQual,0.0005126898098708628,FullBath,7.101101371601582e-05
CentralAir,0.7602830563724261,LowQualFinSF,17.320514381286962,0.35396298311142527,0.9277342880648253,18.669693040467525,ExterQual,0.0004656400304243654,CentralAir,5.968959110081995e-05
Functional,0.7564292250031464,FireplaceQu,1084.0275581660785,0.411704903113424,0.8215384366055867,1319.509240060682,ExterCond,0.00033998391928180105,GarageCars,5.695915890818748e-05
BsmtFullBath,0.7375897172057515,YrSold,-647.877392789761,0.44483837962612716,-0.7646132254165215,847.326950742751,HalfBath,0.0002744956049926047,PavedDrive,5.466659189932166e-05
EnclosedPorch,0.728376625522914,BsmtFullBath,2101.9592748290315,0.4849846469778283,0.6987927513775842,3007.9866608308066,Functional,0.00026560495346085965,PoolQC,4.70764183970962e-05
